date,M1: realised_demand,M2: scheduled_demand,M3: shifted_load,M4: total_generation,M5: savings_on_ToD,M6: energy_costs
2021-01-01,"{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 944.7201600000001, 'Office 2_5': 582.84032, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 1405.2, 'Office 2_5': 870.5, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{""hh3_consumption [kWh]_1"": 0, ""hh3_consumption [kWh]_2"": 0, ""Office 1_3"": 0, ""Office 2_5"": 0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 0}","{""<class 'model.agents.Solar'>"": 23398.31952}","{""hh3_consumption [kWh]_1"": 0.0, ""hh3_consumption [kWh]_2"": 0.0, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 0.0}","{""hh3_consumption [kWh]_1"": 11.640554201454115, ""hh3_consumption [kWh]_2"": 11.640554201454115, ""Office 1_3"": 274.6615285127452, ""Office 2_5"": 169.7959884775452, ""school_mbo_7"": 744.6092993479454, ""EV_bus_charging_station_8"": 111276.42052054794}"
2021-01-01,"{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 944.7201600000001, 'Office 2_5': 582.84032, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{'hh3_consumption [kWh]_1': 37.06271534788085, 'hh3_consumption [kWh]_2': 37.06271534788085, 'Office 1_3': 1405.2, 'Office 2_5': 870.5, 'school_mbo_7': 2566.46, 'EV_bus_charging_station_8': 384000.0}","{""hh3_consumption [kWh]_1"": 0, ""hh3_consumption [kWh]_2"": 0, ""Office 1_3"": 0, ""Office 2_5"": 0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 0}","{""<class 'model.agents.Solar'>"": 23398.31952}","{""hh3_consumption [kWh]_1"": 0.0, ""hh3_consumption [kWh]_2"": 0.0, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 0.0}","{""hh3_consumption [kWh]_1"": 11.640554201454115, ""hh3_consumption [kWh]_2"": 11.640554201454115, ""Office 1_3"": 274.6615285127452, ""Office 2_5"": 169.7959884775452, ""school_mbo_7"": 744.6092993479454, ""EV_bus_charging_station_8"": 111276.42052054794}"
2021-01-02,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.265107376871995, 'Office 1_3': 1032.41112, 'Office 2_5': 660.32224, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 380640.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.265107376871995, 'Office 1_3': 1700.4, 'Office 2_5': 1212.8, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 380640.0}","{""hh3_consumption [kWh]_1"": 0, ""hh3_consumption [kWh]_2"": 0.3052172919140155, ""Office 1_3"": 0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 0}","{""<class 'model.agents.Solar'>"": 45184.34664}","{""hh3_consumption [kWh]_1"": 0.0, ""hh3_consumption [kWh]_2"": 0.08844586685084341, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 0.0}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.699203363615172, ""Office 1_3"": 300.07261490154514, ""Office 2_5"": 192.2486992551452, ""school_mbo_7"": 744.805383814612, ""EV_bus_charging_station_8"": 110302.75972054795}"
2021-01-03,"{'hh3_consumption [kWh]_1': 37.08953820114416, 'hh3_consumption [kWh]_2': 37.19113981432791, 'Office 1_3': 836.9725599999999, 'Office 2_5': 559.64512, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 406611.51736336935}","{'hh3_consumption [kWh]_1': 37.08953820114416, 'hh3_consumption [kWh]_2': 37.19113981432791, 'Office 1_3': 1484.0, 'Office 2_5': 973.3000000000001, 'school_mbo_7': 3035.1499999999996, 'EV_bus_charging_station_8': 406611.51736336935}","{""hh3_consumption [kWh]_1"": 0.3407864252504966, ""hh3_consumption [kWh]_2"": 0.24925323729408522, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0, ""EV_bus_charging_station_8"": 4272.098539565781}","{""<class 'model.agents.Solar'>"": 30802.40232}","{""hh3_consumption [kWh]_1"": 0.09875309030908891, ""hh3_consumption [kWh]_2"": 0.07222860310308, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 0.0, ""EV_bus_charging_station_8"": 1237.9687147953719}","{""hh3_consumption [kWh]_1"": 11.648326927872759, ""hh3_consumption [kWh]_2"": 11.677769043341147, ""Office 1_3"": 243.43842898474523, ""Office 2_5"": 163.0744834215452, ""school_mbo_7"": 880.4262875479453, ""EV_bus_charging_station_8"": 117828.78602210512}"
2021-01-04,"{'hh3_consumption [kWh]_1': 37.295876961346266, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 845.77656, 'Office 2_5': 473.85312, 'school_mbo_7': 3024.385086104274, 'EV_bus_charging_station_8': 460433.5223866912}","{'hh3_consumption [kWh]_1': 37.295876961346266, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 1485.2, 'Office 2_5': 616.3, 'school_mbo_7': 3024.385086104274, 'EV_bus_charging_station_8': 460433.5223866912}","{""hh3_consumption [kWh]_1"": 0.3544542467920504, ""hh3_consumption [kWh]_2"": 0.24925323729408522, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 43.779957137276085, ""EV_bus_charging_station_8"": 4731.844759989603}","{""<class 'model.agents.Solar'>"": 29876.71032}","{""hh3_consumption [kWh]_1"": 0.10271375163540036, ""hh3_consumption [kWh]_2"": 0.07222860310308, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 12.686555979239863, ""EV_bus_charging_station_8"": 1371.193974549787}","{""hh3_consumption [kWh]_1"": 11.708119773804128, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 245.98965210474523, ""Office 2_5"": 138.21367766154523, ""school_mbo_7"": 877.3068307992417, ""EV_bus_charging_station_8"": 133425.3266377633}"
2021-01-05,"{'hh3_consumption [kWh]_1': 35.993456756394856, 'hh3_consumption [kWh]_2': 35.98092766428909, 'Office 1_3': 305.06104, 'Office 2_5': 289.1, 'school_mbo_7': 2531.600213376364, 'EV_bus_charging_station_8': 380280.0}","{'hh3_consumption [kWh]_1': 35.993456756394856, 'hh3_consumption [kWh]_2': 35.98092766428909, 'Office 1_3': 403.69999999999993, 'Office 2_5': 294.4, 'school_mbo_7': 2531.600213376364, 'EV_bus_charging_station_8': 380280.0}","{""hh3_consumption [kWh]_1"": 0.3544542467920504, ""hh3_consumption [kWh]_2"": 0.23294598018819634, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 69.69924904275848, ""EV_bus_charging_station_8"": 4731.844759989603}","{""<class 'model.agents.Solar'>"": 32854.916880000004}","{""hh3_consumption [kWh]_1"": 0.10271375163540036, ""hh3_consumption [kWh]_2"": 0.06750308613893555, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 20.197448387610553, ""EV_bus_charging_station_8"": 1371.193974549787}","{""hh3_consumption [kWh]_1"": 11.330704446813307, ""hh3_consumption [kWh]_2"": 11.327073766502899, ""Office 1_3"": 89.3011087191452, ""Office 2_5"": 84.6759185479452, ""school_mbo_7"": 734.5076303801482, ""EV_bus_charging_station_8"": 110198.43892054794}"
2021-01-06,"{'hh3_consumption [kWh]_1': 35.954359299332545, 'hh3_consumption [kWh]_2': 35.99752525023439, 'Office 1_3': 938.56024, 'Office 2_5': 484.5, 'school_mbo_7': 2588.450459515, 'EV_bus_charging_station_8': 383850.15846525115}","{'hh3_consumption [kWh]_1': 35.954359299332545, 'hh3_consumption [kWh]_2': 35.99752525023439, 'Office 1_3': 1727.6, 'Office 2_5': 566.5, 'school_mbo_7': 2588.450459515, 'EV_bus_charging_station_8': 383850.15846525115}","{""hh3_consumption [kWh]_1"": 0.35983807315417815, ""hh3_consumption [kWh]_2"": 0.22069084738053357, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 58.082113321632676, ""EV_bus_charging_station_8"": 5854.250141003635}","{""<class 'model.agents.Solar'>"": 57065.879279999994}","{""hh3_consumption [kWh]_1"": 0.10427387683861776, ""hh3_consumption [kWh]_2"": 0.06395179375393102, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 16.831034798342714, ""EV_bus_charging_station_8"": 1696.4446058600333}","{""hh3_consumption [kWh]_1"": 11.31937478570579, ""hh3_consumption [kWh]_2"": 11.331883414958128, ""Office 1_3"": 272.8765068951452, ""Office 2_5"": 141.29893054794522, ""school_mbo_7"": 750.9816947062021, ""EV_bus_charging_station_8"": 111232.99944060842}"
2021-01-07,"{'hh3_consumption [kWh]_1': 37.028698936415346, 'hh3_consumption [kWh]_2': 37.198326145224456, 'Office 1_3': 950.8651199999999, 'Office 2_5': 593.53024, 'school_mbo_7': 2565.9471296054626, 'EV_bus_charging_station_8': 425545.4224536334}","{'hh3_consumption [kWh]_1': 37.028698936415346, 'hh3_consumption [kWh]_2': 37.198326145224456, 'Office 1_3': 1583.6000000000001, 'Office 2_5': 990.9000000000001, 'school_mbo_7': 2565.9471296054626, 'EV_bus_charging_station_8': 425545.4224536334}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 53.314794949390716, ""EV_bus_charging_station_8"": 5274.095939797582}","{""<class 'model.agents.Solar'>"": 34839.40464}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 15.449561280434441, ""EV_bus_charging_station_8"": 1528.327521434543}","{""hh3_consumption [kWh]_1"": 11.630696925739645, ""hh3_consumption [kWh]_2"": 11.679851498308349, ""Office 1_3"": 276.44221502154517, ""Office 2_5"": 172.8937134951452, ""school_mbo_7"": 744.4606797650163, ""EV_bus_charging_station_8"": 123315.45303916185}"
2021-01-08,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 303.63104, 'Office 2_5': 289.59968000000003, 'school_mbo_7': 2559.7349142448347, 'EV_bus_charging_station_8': 399000.0}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 424.29999999999995, 'Office 2_5': 334.59999999999997, 'school_mbo_7': 2559.7349142448347, 'EV_bus_charging_station_8': 399000.0}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 59.09403943670918, ""EV_bus_charging_station_8"": 5274.095939797582}","{""<class 'model.agents.Solar'>"": 38486.306880000004}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.0, ""Office 2_5"": 0.0, ""school_mbo_7"": 17.124270747969586, ""EV_bus_charging_station_8"": 1528.327521434543}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 88.8867233191452, ""Office 2_5"": 84.8207158183452, ""school_mbo_7"": 742.6605039978135, ""EV_bus_charging_station_8"": 115623.12052054795}"
2021-01-09,"{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 792.5455362570606, 'Office 2_5': 568.2262400000001, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 392162.64966614114}","{'hh3_consumption [kWh]_1': 37.14997869302475, 'hh3_consumption [kWh]_2': 37.14997869302475, 'Office 1_3': 1576.8, 'Office 2_5': 978.1000000000001, 'school_mbo_7': 2567.1366666666663, 'EV_bus_charging_station_8': 392162.64966614114}","{""hh3_consumption [kWh]_1"": 0.2683571698629761, ""hh3_consumption [kWh]_2"": 0.2006521647685986, ""Office 1_3"": 1.9276593079281863, ""Office 2_5"": 0.0, ""school_mbo_7"": 59.09403943670918, ""EV_bus_charging_station_8"": 3449.581789690368}","{""<class 'model.agents.Solar'>"": 46837.490639999996}","{""hh3_consumption [kWh]_1"": 0.07776454068289321, ""hh3_consumption [kWh]_2"": 0.0581449843066445, ""Office 1_3"": 0.5585971142514298, ""Office 2_5"": 0.0, ""school_mbo_7"": 17.124270747969586, ""EV_bus_charging_station_8"": 999.619811016475}","{""hh3_consumption [kWh]_1"": 11.665841373609915, ""hh3_consumption [kWh]_2"": 11.665841373609915, ""Office 1_3"": 230.5643660445162, ""Office 2_5"": 165.56112037514518, ""school_mbo_7"": 744.805383814612, ""EV_bus_charging_station_8"": 113641.79314080233}"
